,0
0,4.188432730927176
1,1874881.1525407906
2,10050412.750190789
3,3864160.0493213637
4,1567593.4088062914
5,655275.1875821202
6,2007494.952152357
7,4468847.887566627
8,4468847.887566627
9,11082125.913893094
